Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (umhos/cm)-Minimum,CONDUCTIVITY (umhos/cm)-Maximum,CONDUCTIVITY (umhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean,WaterQualityCategory_encoded
2414,WATER QUALITY OF RIVER- BRAHMANI,ROURKELA FDOWNSTREAM AT BIRITOLA,ORISSA,24.0,33.0,27.6,5.0,8.0,6.8,7.1,8.2,7.7,93.0,354.0,205.0,1.2,3.6,2.5,0.3,5.61,1.53,790.0,13000.0,3026.0,1500.0,22000.0,5592.0,0.4,0.5696,0.51,13
1039,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT BONAIGARH,ORISSA,22.0,34.0,28.3,5.6,9.9,7.8,7.2,8.3,7.9,99.0,308.0,192.0,0.8,2.8,1.6,0.15,4.35,1.54,790.0,3100.0,1443.0,1400.0,5800.0,2825.0,0.4,0.5696,0.51,13
1040,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT RENGALI,ORISSA,16.0,36.0,28.8,5.9,9.0,7.9,6.9,8.3,7.7,98.0,272.0,143.0,0.6,2.8,1.5,0.05,2.9,0.86,210.0,2300.0,813.0,630.0,4900.0,1568.0,0.4,0.5696,0.51,13
1041,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT SAMAL,ORISSA,15.0,36.0,28.2,6.2,8.9,7.4,7.3,8.3,7.8,99.0,424.0,177.0,1.1,2.5,1.8,0.13,1.94,0.59,170.0,940.0,525.0,330.0,1700.0,1069.0,0.4,0.5696,0.51,13
1303,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT TALCHER UPSTREAM,ORISSA,18.0,33.0,25.8,6.1,8.8,7.6,7.4,8.2,7.9,98.0,192.0,140.0,1.0,2.5,1.7,0.04,1.55,0.54,790.0,2200.0,1250.0,1500.0,4300.0,2267.0,0.4,0.5696,0.51,13
2415,WATER QUALITY OF RIVER- BRAHMANI,"BRAHMANI AT TALCHER FUPSTREAM (INTAKEWELL OF MCL, TALCHER)",ORISSA,17.0,35.0,25.7,6.6,8.3,7.5,7.5,8.3,7.9,101.0,242.0,153.0,1.1,2.0,1.5,0.01,3.42,0.63,230.0,1500.0,702.0,700.0,2100.0,1257.0,0.4,0.5696,0.51,13
2416,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT TALCHER FDOWNSTREAM,ORISSA,20.0,37.0,27.4,6.3,8.0,7.3,7.4,8.2,7.8,109.0,218.0,160.0,1.0,2.8,1.8,0.04,1.59,0.57,460.0,14000.0,3224.0,940.0,21000.0,5378.0,0.4,0.5696,0.51,13
1042,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT KAMALANGA,ORISSA,20.0,36.0,27.4,6.3,8.7,7.7,7.4,8.3,7.9,101.0,218.0,166.0,1.0,2.4,2.0,0.03,2.84,0.6,1100.0,28000.0,5642.0,2100.0,43000.0,11075.0,0.4,0.5696,0.51,13
2417,WATER QUALITY OF RIVER- BRAHMANI,"DHENKANAL DOWNSTREAM, DHENKANAL TOWN",ORISSA,21.0,29.0,25.4,6.2,8.8,7.6,7.4,8.4,7.9,106.0,236.0,149.0,0.8,2.8,1.7,0.09,1.8,0.68,1400.0,35000.0,5867.0,2600.0,54000.0,10817.0,0.4,0.5696,0.51,13
1043,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT BHUBAN,ORISSA,23.0,34.0,28.7,6.0,8.8,7.6,7.5,8.4,7.9,115.0,206.0,150.0,1.2,2.6,1.7,0.11,2.35,0.66,1100.0,13000.0,2683.0,2100.0,24000.0,5433.0,0.4,0.5696,0.51,13
