Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (umhos/cm)-Minimum,CONDUCTIVITY (umhos/cm)-Maximum,CONDUCTIVITY (umhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean,WaterQualityCategory_encoded
1001,WATER QUALITY OF RIVER- BEAS,BEAS AT UPSTREAM MANALI,HIMACHAL PRADESH,2.5,14.0,9.0,8.4,10.3,9.0,7.2,8.0,8.0,68.0,101.0,85.0,0.1,0.3,0.1,0.06,0.42,0.2,0.0,920.0,106.0,11.0,2400.0,397.0,0.4,0.5696,0.51,12
1002,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM KULU,HIMACHAL PRADESH,5.6,14.0,10.0,8.0,10.2,9.0,7.1,8.3,8.0,69.0,165.0,102.0,0.2,0.4,0.3,0.04,0.89,0.4,33.0,350.0,153.0,160.0,2400.0,954.0,0.4,0.5696,0.51,12
1003,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM AUT,HIMACHAL PRADESH,5.0,14.1,11.0,8.2,10.5,9.0,7.3,8.5,8.0,65.0,178.0,96.0,0.1,0.5,0.2,0.04,0.64,0.3,2.0,140.0,58.0,27.0,2400.0,653.0,0.4,0.5696,0.51,12
1004,WATER QUALITY OF RIVER- BEAS,BEAS AT UPSTREAM PANDON DAM,HIMACHAL PRADESH,5.5,18.0,13.0,8.1,10.6,9.0,7.0,8.2,8.0,56.0,130.0,94.0,0.1,0.2,0.2,0.24,0.71,0.4,7.0,79.0,34.0,34.0,920.0,317.0,0.4,0.5696,0.51,12
1005,WATER QUALITY OF RIVER- BEAS,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,5.0,21.0,14.0,7.9,12.0,10.0,7.3,8.4,8.0,56.0,227.0,112.0,0.1,0.4,0.2,0.08,0.69,0.5,23.0,920.0,213.0,160.0,2400.0,1072.0,0.4,0.5696,0.51,12
1550,WATER QUALITY OF RIVER- BEAS,UPSTREAM MANDI,HIMACHAL PRADESH,6.0,20.0,16.0,7.1,11.1,9.0,7.2,8.7,8.0,66.0,164.0,117.0,0.1,0.4,0.2,0.01,1.39,0.5,17.0,350.0,100.0,220.0,2400.0,722.0,0.4,0.5696,0.51,12
1006,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM MANDI,HIMACHAL PRADESH,6.5,21.0,16.0,7.8,10.3,9.0,7.4,8.4,8.0,86.0,220.0,155.0,0.2,0.6,0.5,0.08,1.53,0.7,27.0,920.0,445.0,540.0,2400.0,1855.0,0.4,0.5696,0.51,12
2604,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM JAISINGHPUR,HIMACHAL PRADESH,8.9,22.0,19.0,7.8,9.0,8.0,7.5,8.7,8.0,97.0,361.0,211.0,0.2,0.8,0.5,0.15,1.46,0.5,4.0,11.0,7.0,22.0,170.0,72.0,0.4,0.5696,0.51,12
1007,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM ALAMPUR,HIMACHAL PRADESH,20.0,22.0,19.0,8.3,9.1,8.0,8.2,8.9,8.0,130.0,356.0,202.0,1.0,1.0,0.6,0.1,1.18,0.4,6.0,14.0,9.0,94.0,280.0,123.0,0.4,0.5696,0.51,12
1008,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM DEHRAGOPIPUR,HIMACHAL PRADESH,9.0,24.0,19.0,7.5,9.6,8.0,7.1,8.4,8.0,124.0,638.0,280.0,0.1,1.1,0.7,0.0,7.07,1.1,0.0,21.0,10.0,12.0,540.0,157.0,0.4,0.5696,0.51,12
1009,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM PONG DAM,HIMACHAL PRADESH,14.0,23.0,20.0,5.0,9.9,8.0,7.6,8.3,8.0,141.0,254.0,177.0,0.1,1.1,0.5,0.04,0.61,0.4,2.0,14.0,7.0,8.0,140.0,92.0,0.4,0.5696,0.51,12
1693,WATER QUALITY OF RIVER- BEAS,BEAS AT TALWARA H/W,PUNJAB,12.0,16.0,15.0,7.4,8.0,8.0,7.2,7.8,8.0,280.0,290.0,285.0,0.2,0.4,0.0,0.6,1.0,0.8,0.0,11.0,3.0,50.0,50.0,50.0,0.4,0.5696,0.51,12
1694,WATER QUALITY OF RIVER- BEAS,UPSTREAM PATHANKOT,PUNJAB,18.0,18.0,18.0,6.6,7.8,7.0,7.3,7.9,8.0,310.0,322.0,316.0,0.8,1.2,1.0,1.0,2.2,1.6,90.0,100.0,95.0,500.0,500.0,500.0,0.4,0.5696,0.51,12
1695,WATER QUALITY OF RIVER- BEAS,UPSTREAM PATHANKOT,PUNJAB,10.0,18.0,15.0,6.8,7.6,7.0,6.8,7.5,7.0,303.0,366.0,334.0,0.9,1.5,1.0,1.0,2.6,2.0,110.0,300.0,158.0,500.0,900.0,600.0,0.4,0.5696,0.51,12
1010,WATER QUALITY OF RIVER- BEAS,BEAS AT MIRTHAL BRIDGE- GURDASPUR,PUNJAB,13.0,17.0,15.0,7.2,8.8,8.0,7.2,8.0,8.0,74.0,303.0,177.0,0.2,0.8,0.5,0.04,1.4,0.6,11.0,110.0,66.0,170.0,1600.0,662.0,0.4,0.5696,0.51,12
1294,WATER QUALITY OF RIVER- BEAS,BEAS AT 1KM.DOWNSTREAM OF EFFL. DISH. POINT AT MUKERIAN,PUNJAB,9.0,19.0,14.0,6.7,7.6,7.0,6.5,7.8,7.0,286.0,366.0,334.0,0.4,1.2,1.0,0.0,1.8,1.0,110.0,500.0,370.0,50.0,1100.0,738.0,0.4,0.5696,0.51,12
1011,WATER QUALITY OF RIVER- BEAS,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,8.0,19.0,14.0,7.2,7.4,7.0,7.2,7.6,7.0,303.0,327.0,317.0,0.7,1.0,0.8,1.4,2.2,1.8,90.0,200.0,133.0,500.0,700.0,567.0,0.4,0.5696,0.51,12
1696,WATER QUALITY OF RIVER- BEAS,UPSTREAM GOINDWAL,PUNJAB,9.0,19.0,16.0,6.4,7.2,7.0,6.9,7.6,7.0,298.0,319.0,310.0,0.4,1.0,1.0,1.4,1.8,2.0,90.0,300.0,180.0,500.0,900.0,650.0,0.4,0.5696,0.51,12
1012,WATER QUALITY OF RIVER- BEAS,BEAS AT 100M DOWNSTREAM INDUST. DISCH. GOINDWAL,PUNJAB,10.0,21.0,17.0,6.0,7.2,7.0,7.2,7.7,7.0,312.0,327.0,320.0,0.2,1.2,0.7,1.4,2.6,1.8,110.0,300.0,185.0,500.0,1000.0,725.0,0.4,0.5696,0.51,12
1697,WATER QUALITY OF RIVER- BEAS,BEAS AT HARIKE,PUNJAB,10.0,20.0,16.0,6.6,7.2,7.0,7.2,7.7,8.0,300.0,312.0,304.0,0.6,0.8,1.0,1.0,2.2,1.5,90.0,220.0,130.0,500.0,700.0,550.0,0.4,0.5696,0.51,12
2601,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM MANALI,HIMACHAL PRADESH,3.5,14.0,10.0,8.2,9.6,9.0,6.7,8.1,8.0,49.0,99.0,74.0,0.1,0.5,0.2,0.2,0.95,0.4,11.0,920.0,189.0,130.0,2400.0,889.0,0.4,0.5696,0.51,12
2602,WATER QUALITY OF RIVER- BEAS,BEAS AT UPSTREAM KULLU,HIMACHAL PRADESH,5.4,15.0,10.0,8.1,9.8,9.0,7.2,8.2,8.0,67.0,278.0,114.0,0.1,0.5,0.2,0.04,0.85,0.3,22.0,540.0,130.0,220.0,2400.0,990.0,0.4,0.5696,0.51,12
2603,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM PANDOH DAM,HIMACHAL PRADESH,6.0,17.5,14.0,7.9,12.5,9.0,7.1,8.4,8.0,54.0,159.0,96.0,0.1,0.3,0.2,0.01,0.98,0.5,7.0,240.0,62.0,49.0,1600.0,606.0,0.4,0.5696,0.51,12
1867,WATER QUALITY OF RIVER- SATLUJ,SATLUJ B/C WITH RIVER SPITI ATKHAB- DISTT.KINNAUR,HIMACHAL PRADESH,1.8,8.0,6.0,5.8,9.3,8.0,7.7,8.5,8.0,202.0,372.0,288.0,0.1,1.2,0.3,0.03,0.27,0.1,4.0,350.0,63.0,4.0,2400.0,493.0,0.4,0.5696,0.51,20
2611,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT KHAB,HIMACHAL PRADESH,1.8,8.0,6.0,5.9,9.2,8.0,7.9,8.5,8.0,204.0,345.0,268.0,0.1,1.8,0.4,0.03,0.25,0.1,2.0,540.0,76.0,7.0,2400.0,421.0,0.4,0.5696,0.51,20
1389,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,2.6,8.0,6.0,6.7,9.4,9.0,7.8,8.4,8.0,97.0,348.0,208.0,0.1,0.4,0.0,0.01,0.51,0.0,2.0,220.0,85.0,11.0,2400.0,1020.0,0.4,0.5696,0.51,20
1086,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT UPSTREAM RAMPUR,HIMACHAL PRADESH,3.3,8.0,7.0,6.4,9.4,8.0,7.7,8.4,8.0,100.0,279.0,209.0,0.1,3.2,0.6,0.01,0.8,0.3,4.0,540.0,126.0,8.0,2400.0,846.0,0.4,0.5696,0.51,20
1087,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT DOWNSTREAM RAMPUR,HIMACHAL PRADESH,3.3,8.5,7.0,6.1,9.2,8.0,8.0,8.4,8.0,133.0,281.0,219.0,0.2,2.6,0.7,0.03,0.67,0.2,2.0,920.0,204.0,18.0,2400.0,857.0,0.4,0.5696,0.51,20
1013,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT UPSTREAM TATAPANI,HIMACHAL PRADESH,6.0,10.0,8.0,6.5,9.7,8.0,7.7,8.4,8.0,87.0,1022.0,355.0,0.2,1.1,0.4,0.02,0.88,0.3,4.0,240.0,89.0,16.0,2400.0,950.0,0.4,0.5696,0.51,20
1014,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT UPSTREAM SLAPPER,HIMACHAL PRADESH,5.8,22.0,14.0,8.2,11.5,10.0,7.5,8.5,8.0,115.0,307.0,225.0,0.1,0.4,0.2,0.18,1.89,0.6,17.0,350.0,159.0,130.0,2400.0,1586.0,0.4,0.5696,0.51,20
1015,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT DOWNSTREAM SLAPPER,HIMACHAL PRADESH,5.0,22.0,14.0,8.6,12.0,10.0,7.5,8.4,8.0,169.0,303.0,214.0,0.1,2.4,0.5,0.18,1.86,0.7,22.0,540.0,207.0,240.0,2400.0,1606.0,0.4,0.5696,0.51,20
1016,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT DOWNSTREAM BHAKHRA,HIMACHAL PRADESH,9.0,22.0,17.0,7.4,9.9,9.0,7.3,8.7,8.0,163.0,293.0,202.0,0.1,1.0,0.5,0.0,0.57,0.3,2.0,70.0,14.0,6.0,150.0,59.0,0.4,0.5696,0.51,20
1017,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT 100M UPSTREAM OFHEADWORKS- NANGAL,PUNJAB,18.0,22.5,20.0,6.9,8.2,8.0,7.4,7.8,8.0,209.0,318.0,272.0,2.4,3.0,2.7,1.4,2.2,1.9,110.0,500.0,305.0,110.0,1500.0,703.0,0.4,0.5696,0.51,20
1018,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT 100M DOWNSTREAM -NANGAL,PUNJAB,18.0,22.5,20.0,6.9,8.2,8.0,7.4,7.8,8.0,209.0,318.0,272.0,2.4,3.0,2.7,1.4,2.2,1.9,110.0,500.0,305.0,110.0,1500.0,703.0,0.4,0.5696,0.51,20
1293,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT 1 KM. DOWNSTREAM OF ZENITH,PUNJAB,19.0,24.0,22.0,6.2,7.4,7.0,7.4,7.9,8.0,318.0,592.0,442.0,8.0,13.8,11.0,3.0,8.6,5.3,500.0,3000.0,1275.0,1100.0,9000.0,4150.0,0.4,0.5696,0.51,20
1814,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT DOWNSTREAM KIRATPUR SAHIB,PUNJAB,19.0,22.0,21.0,7.2,7.8,7.0,7.2,7.5,7.0,213.0,320.0,279.0,0.8,2.8,2.0,1.8,2.0,2.0,50.0,500.0,178.0,110.0,900.0,503.0,0.4,0.5696,0.51,20
1019,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT UPSTREAM HEAD WORKS ROPAR,PUNJAB,19.0,22.0,21.0,7.0,7.5,7.0,7.2,7.5,7.0,213.0,390.0,336.0,2.8,4.0,3.3,2.4,4.2,3.3,110.0,1100.0,637.0,500.0,25000.0,9000.0,0.4,0.5696,0.51,20
1380,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT DOWNSTREAM NFL,PUNJAB,19.0,23.0,21.0,6.0,7.6,7.0,7.4,7.8,8.0,214.0,338.0,288.0,1.4,3.0,2.4,2.0,2.2,2.0,300.0,500.0,433.0,110.0,1100.0,803.0,0.4,0.5696,0.51,20
1690,WATER QUALITY OF RIVER- SATLUJ,UPSTREAM BUDHA NALLAH (UPPER),PUNJAB,18.0,25.0,22.0,6.5,6.9,7.0,7.2,7.4,7.0,280.0,287.0,284.0,1.6,1.9,2.0,2.6,5.6,4.0,300.0,50000.0,12975.0,1100.0,90000.0,23625.0,0.4,0.5696,0.51,20
1020,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT 100M DOWNSTREAM BUDHA NALA CONFL.-LUDHIANA,PUNJAB,18.0,25.0,22.0,4.1,4.3,4.0,6.8,7.0,7.0,345.0,494.0,388.0,14.0,32.0,22.0,5.2,23.2,12.0,9000.0,50000.0,29000.0,26000.0,90000.0,64000.0,0.4,0.5696,0.51,20
1021,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD- JALANDHAR,PUNJAB,20.0,25.0,23.0,6.1,7.3,6.0,7.1,7.2,7.0,168.0,502.0,326.0,2.4,2.8,2.7,3.2,10.8,6.0,900.0,5000.0,2500.0,2500.0,11000.0,8375.0,0.4,0.5696,0.51,20
1381,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT DOWNSTREAM EAST BASIN,PUNJAB,11.0,17.0,15.0,3.8,4.8,4.0,7.2,7.6,7.0,512.0,640.0,556.0,4.5,6.1,5.0,2.6,7.8,5.0,9000.0,35000.0,22000.0,21000.0,50000.0,40333.0,0.4,0.5696,0.51,20
1691,WATER QUALITY OF RIVER- SATLUJ,UPSTREAM HUSSANIWALA - H/W FEROZEPUR,PUNJAB,21.0,25.0,23.0,7.0,7.3,7.0,7.2,7.4,7.0,168.0,370.0,279.0,1.8,2.8,2.5,2.6,4.0,3.0,50.0,110.0,95.0,500.0,500.0,500.0,0.4,0.5696,0.51,20
1692,WATER QUALITY OF RIVER- SATLUJ,DOWNSTREAM HUSSANIWALA-H/W FEROZEPUR,PUNJAB,22.0,25.0,23.0,6.9,7.2,7.0,7.2,7.4,7.0,162.0,384.0,283.0,1.6,2.4,2.0,2.2,4.3,3.0,100.0,110.0,105.0,500.0,700.0,600.0,0.4,0.5696,0.51,20
1022,WATER QUALITY OF RIVER- SATLUJ,SATLUJ AT BRIDGE HARIKE- AMRITSAR,PUNJAB,14.0,22.0,18.0,4.2,5.8,5.0,7.0,7.6,7.0,312.0,598.0,494.0,2.5,3.5,3.0,2.0,3.2,2.7,110.0,500.0,403.0,500.0,1100.0,950.0,0.4,0.5696,0.51,20
1088,WATER QUALITY OF TRIBUTARY STREAMS- RAVI,RAVI AT UPSTREAM MADHOPUR,HIMACHAL PRADESH,14.0,27.0,18.0,7.0,9.5,8.0,6.8,8.6,8.0,109.0,244.0,155.0,0.2,0.9,0.5,0.0,1.44,0.5,4.0,13.0,9.0,21.0,180.0,80.0,0.4,0.5696,0.51,197
1089,WATER QUALITY OF TRIBUTARY STREAMS- RAVI,RAVI AT UPSTREAM CHAMBA,HIMACHAL PRADESH,5.5,14.0,11.0,7.6,11.2,9.0,7.4,8.4,8.0,93.0,189.0,141.0,0.1,0.8,0.5,0.0,0.67,0.4,4.0,9.0,6.0,17.0,170.0,90.0,0.4,0.5696,0.51,197
2614,WATER QUALITY OF TRIBUTARY STREAMS- RAVI,RAVI AT AT CHAMERA RESERVOIR,HIMACHAL PRADESH,7.0,20.0,15.0,7.8,11.7,9.0,7.5,8.4,8.0,100.0,219.0,158.0,0.2,0.8,0.5,0.0,0.57,0.4,5.0,11.0,7.0,14.0,170.0,106.0,0.4,0.5696,0.51,197
2615,WATER QUALITY OF TRIBUTARY STREAMS- RAVI,RAVI AT AT DOWNSTREAM CHAMERA III HEP,HIMACHAL PRADESH,5.0,12.0,10.0,7.9,10.9,9.0,7.6,8.3,8.0,82.0,173.0,137.0,0.1,0.6,0.4,0.1,0.48,0.3,2.0,5.0,4.0,8.0,70.0,47.0,0.4,0.5696,0.51,197
2613,WATER QUALITY OF TRIBUTARY STREAMS- RAVI,RAVI AT DOWNSTREAM OF CHAMBA TOWN,HIMACHAL PRADESH,5.5,15.0,11.0,7.9,11.8,10.0,7.4,8.5,8.0,92.0,565.0,190.0,0.1,0.8,0.5,0.11,2.65,0.6,4.0,13.0,9.0,21.0,350.0,169.0,0.4,0.5696,0.51,197
1097,WATER QUALITY OF TRIBUTARY STREAMS- RAVI,RAVI AT UPSTREAM OF MADHOPURHEADWORKS-GURDASPUR,PUNJAB,10.5,16.0,14.0,7.4,7.9,8.0,7.1,7.8,8.0,130.0,243.0,167.0,0.2,2.0,0.7,0.0,1.0,0.7,9.0,11.0,10.0,50.0,50.0,50.0,0.4,0.5696,0.51,197
1290,WATER QUALITY OF TRIBUTARY STREAMS- PARVATI,PARVATI BEFORE CONF. TO RIVER BEAS,HIMACHAL PRADESH,4.5,14.0,10.0,8.4,10.3,9.0,7.2,8.2,8.0,44.0,178.0,84.0,0.1,0.4,0.2,0.07,0.62,0.3,5.0,540.0,125.0,79.0,2400.0,909.0,0.4,0.5696,0.51,187
2605,WATER QUALITY OF TRIBUTARY STREAMS- PARVATI,PARVATI AT UPSTREAM MANIKARAN,HIMACHAL PRADESH,1.0,10.3,7.0,8.7,10.6,9.0,7.2,8.1,8.0,44.0,96.0,65.0,0.1,0.3,0.1,0.02,0.6,0.3,0.0,110.0,27.0,17.0,920.0,217.0,0.4,0.5696,0.51,187
2606,WATER QUALITY OF TRIBUTARY STREAMS- PARVATI,PARVATI AT DOWNSTREAM MANIKARAN,HIMACHAL PRADESH,1.5,11.2,8.0,8.4,10.6,9.0,7.1,7.9,8.0,36.0,88.0,62.0,0.1,0.3,0.2,0.02,0.6,0.3,2.0,170.0,43.0,21.0,1600.0,353.0,0.4,0.5696,0.51,187
1090,WATER QUALITY OF TRIBUTARY STREAMS- LARGI,LARGI AT DOWNSTREAM,HIMACHAL PRADESH,5.0,16.0,11.0,8.3,10.4,9.0,7.2,8.2,8.0,57.0,248.0,101.0,0.1,0.3,0.2,0.01,1.31,0.4,2.0,130.0,53.0,33.0,1600.0,553.0,0.4,0.5696,0.51,160
1551,WATER QUALITY OF TRIBUTARY STREAMS- SIRSA,SIRSA - UPSTREAM SITOMAJRI NALLAHGARH,HIMACHAL PRADESH,10.0,28.0,20.0,6.2,10.1,8.0,7.6,8.1,8.0,270.0,475.0,364.0,0.5,12.0,2.1,0.14,2.96,1.3,4.0,60.0,26.0,12.0,168.0,69.0,0.4,0.5696,0.51,216
1552,WATER QUALITY OF TRIBUTARY STREAMS- SIRSA,SIRSA - DOWNSTREAM NALAGARH BRIDGE,HIMACHAL PRADESH,17.0,32.0,24.0,6.0,14.3,9.0,7.3,8.4,8.0,310.0,872.0,622.0,0.5,4.0,2.0,0.19,2.91,0.8,8.0,54.0,23.0,30.0,190.0,75.0,0.4,0.5696,0.51,216
1868,WATER QUALITY OF TRIBUTARY STREAMS- SIRSA,SIRSA AT DOWNSTREAM NALAGARH DISTT. SOLAN,HIMACHAL PRADESH,17.0,31.0,24.0,5.8,10.5,8.0,7.5,8.3,8.0,306.0,880.0,583.0,0.5,2.0,1.3,0.1,4.0,1.2,6.0,88.0,30.0,28.0,240.0,86.0,0.4,0.5696,0.51,216
1869,WATER QUALITY OF TRIBUTARY STREAMS- SWAN,SWAN AT DOWNSTREAM NANGAL DISTT. UNA,HIMACHAL PRADESH,18.0,31.0,24.0,6.4,11.2,8.0,7.5,8.8,8.0,358.0,514.0,443.0,0.1,2.3,1.2,0.0,2.76,1.0,2.0,30.0,14.0,12.0,220.0,116.0,0.4,0.5696,0.51,224
2616,WATER QUALITY OF TRIBUTARY STREAMS- SIUEL,SIUEL AT DOWNSTREAM SURGANI,HIMACHAL PRADESH,7.0,17.0,13.0,7.2,11.7,9.0,7.4,8.5,8.0,101.0,227.0,155.0,0.1,0.6,0.4,0.06,0.98,0.5,4.0,11.0,6.0,34.0,110.0,58.0,0.4,0.5696,0.51,217
1307,WATER QUALITY OF TRIBUTARY STREAMS- CHUNT KOL,CHUNT KOL (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,7.0,10.0,9.0,4.3,7.5,6.0,7.3,7.8,8.0,168.0,238.0,209.0,4.0,7.0,5.0,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,87
2607,WATER QUALITY OF TRIBUTARY STREAMS- SUKETI KHAD,SUKETI KHAD AT DOWNSTREAM SUKETI KHAD,HIMACHAL PRADESH,7.6,28.0,19.0,6.7,10.8,8.0,7.1,8.6,8.0,88.0,329.0,233.0,0.3,4.0,1.1,0.21,1.81,0.9,220.0,1600.0,773.0,1600.0,2400.0,2327.0,0.4,0.5696,0.51,222
2608,WATER QUALITY OF TRIBUTARY STREAMS- BINWA,BINWA AT DOWNSTREAM PAPROLA/BAIJNATH,HIMACHAL PRADESH,8.5,25.0,19.0,7.0,8.7,8.0,7.2,8.4,8.0,75.0,136.0,99.0,0.1,1.0,0.5,0.13,1.02,0.5,6.0,19.0,11.0,17.0,180.0,100.0,0.4,0.5696,0.51,76
2609,WATER QUALITY OF TRIBUTARY STREAMS- NEUGAL,NEUGAL AT DOWNSTREAM THURAL,HIMACHAL PRADESH,9.5,24.0,21.0,7.1,8.3,8.0,6.7,8.6,8.0,78.0,276.0,129.0,0.1,0.7,0.4,0.12,1.26,0.6,1.0,9.0,6.0,17.0,350.0,113.0,0.4,0.5696,0.51,180
2610,WATER QUALITY OF TRIBUTARY STREAMS- SPITI,SPITI AT KHAB,HIMACHAL PRADESH,1.6,7.0,5.0,5.6,9.4,8.0,7.4,8.6,8.0,97.0,424.0,197.0,0.1,0.4,0.2,0.01,0.38,0.1,2.0,240.0,39.0,11.0,1600.0,252.0,0.4,0.5696,0.51,220
2612,WATER QUALITY OF TRIBUTARY STREAMS- BASPA,BASPA AT UPSTREAM RESERVOIR BASPA PROJECT,HIMACHAL PRADESH,1.3,7.0,5.0,6.1,9.3,8.0,7.6,8.3,8.0,77.6,320.0,136.0,0.1,0.8,0.3,0.03,0.35,0.1,2.0,94.0,25.0,6.0,540.0,174.0,0.4,0.5696,0.51,64
1306,WATER QUALITY OF TRIBUTARY STREAMS- GAWKADAL,GAWKADAL- SRG (SHERGHARI- SRG),JAMMU & KASHMIR,7.0,10.0,9.0,5.6,9.5,8.0,7.3,7.8,8.0,145.0,240.0,184.0,2.0,6.0,4.0,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,103
1304,WATER QUALITY OF TRIBUTARY STREAMS- JHELAM,JHELAM AT ANANTNAG DOWNSTREAM,JAMMU & KASHMIR,7.0,21.0,13.0,7.5,8.5,8.0,7.3,7.8,8.0,180.0,330.0,240.0,1.0,4.0,2.0,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,124
1410,WATER QUALITY OF TRIBUTARY STREAMS- JHELAM,JHELAM AT DALAGATE (INLET)- SRINAGAR,JAMMU & KASHMIR,7.0,10.0,8.0,7.2,8.0,8.0,7.3,7.6,7.0,120.0,192.0,152.0,2.0,7.0,5.0,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,124
1411,WATER QUALITY OF TRIBUTARY STREAMS- JHELAM,JHELAM AT CHATTABAL WEIR (OUTLET),JAMMU & KASHMIR,8.0,9.0,8.0,5.5,7.0,6.0,7.5,7.8,8.0,156.0,189.0,172.0,4.0,6.0,5.0,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,124
1491,WATER QUALITY OF RIVER- GANGA,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,3.0,8.0,5.5,8.0,8.9,8.5,7.7,8.1,7.9,88.0,102.0,95.0,2.6,3.9,2.9,0.0,0.3,0.15,1300.0,7500.0,3383.0,3000.0,17000.0,9300.0,0.4,0.5696,0.51,15
1484,WATER QUALITY OF RIVER- GANGA,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,10.0,21.0,16.6,8.6,12.2,9.6,7.2,8.7,8.0,105.0,193.0,145.0,2.6,3.9,2.9,0.0,0.5,0.08,700.0,4300.0,2500.0,9300.0,9300.0,9300.0,0.4,0.5696,0.51,15
1485,WATER QUALITY OF RIVER- GANGA,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,10.0,20.0,16.6,7.0,9.8,8.8,7.3,8.7,8.0,67.0,205.0,115.0,2.6,3.9,2.9,0.0,0.5,0.08,1500.0,2100.0,1800.0,4300.0,46000.0,25150.0,0.4,0.5696,0.51,15
1486,WATER QUALITY OF RIVER- GANGA,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,10.0,22.0,17.6,8.6,10.3,9.3,7.6,8.6,8.1,84.0,194.0,150.0,0.6,0.8,0.7,0.0,0.5,0.08,9300.0,24000.0,16650.0,46000.0,46000.0,46000.0,0.4,0.5696,0.51,15
1487,WATER QUALITY OF RIVER- GANGA,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,12.0,22.0,18.4,7.7,11.4,9.1,7.4,8.6,8.1,104.0,196.0,141.0,0.6,1.9,1.2,0.0,0.6,0.09,900.0,9300.0,5100.0,4300.0,15000.0,9650.0,0.4,0.5696,0.51,15
